original_product,original_category,catalog_product,catalog_category,confidence
PAO RALADO ALHO SALSA 240G CNT,Padaria,Pão ralado,Padaria & Pastelaria,Manual
PASTA DENTAL FRESCURA AT,Higiene,Pasta de dentes,Higiene & Saúde,Manual
PASTA DENTAL TOT CARV 75ML,Higiene,Pasta de dentes,Higiene & Saúde,Manual
LEITE C/CHOC.AJUSTADO MIMOSA 8*,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
SACOS LIXO CNT 120L 10UN,Limpeza do Lar,Sacos do lixo,Casa,Manual
VB TAPADA DAS LEBRES PREM REG.A,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
CR MAOS NIVEA INTENSIVO 100ML,Beleza,Creme de mãos,Higiene & Saúde,Manual
LEITE CONDENSADO CONTINENTE 397,Mercearia Doce,Leite,Lacticínios,Manual
BATATA ASSAR EMB.,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
LEITE UHT M/G GRESSO 6*1L (ROSC,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
CAMARAO VANNAMEI 20/30 KG,Peixaria,Camarões,Carne & Peixe,Manual
FARINHA CENTEIO ESPIGA 500G,Bens Essenciais,Farinha,Cereais,Manual
OLEO PRONTO A.VERA 5EM1 500ML,Limpeza do Lar,Óleo,Ingredientes & Temperos,Manual
CH. HERBAL HID. LEIT COC 680ML,Beleza,Champô,Higiene & Saúde,Manual
IOGURTE PROT MORANGO YOPRO 160G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
ESPINAFRE BABY LEAF CNT EMB.170,Frutas e Legumes,Espinafres,Frutas & Legumes,Manual
SACOS LIXO CONTINENTE 100L 10UN,Limpeza do Lar,Sacos lixo 100l,Casa,Manual
MIOLO CAMARAO 100/200 CNT 400G,Peixaria,Camarões,Carne & Peixe,Manual
TOSTAS SUECAS INT. CONTINENTE E,Padaria,Tostas,Padaria & Pastelaria,Manual
BATATA ESPECIAL ASSAR SC 1KG,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
BODY NIVEA MILK 625ML,Beleza,Gel cabelo,Higiene & Saúde,Manual
CLEMENTINA,Frutas e Legumes,Tangerina,Frutas & Legumes,Manual
GAO BICO CONTINENTE 400G,Mercearia Salgada,Grão-de-bico,Cereais,Manual
